movie_id,genre_id
41,87534
42,24812
42,28503
42,31748
42,32255
42,32440
42,43423
42,44021
42,44178
42,44887
42,2641
42,3117
42,4039
42,61678
42,64949
42,74674
42,74878
42,75109
42,76898
42,81005
43,15864
43,17837
43,21280
43,21567
43,25415
43,25465
43,25489
43,25670
43,26763
43,26952
43,27218
43,27773
43,27839
43,28319
43,33347
43,35243
43,46179
43,52361
43,53670
43,7
43,680
43,1223
43,1402
43,3706
43,4710
43,6520
43,6881
43,52361
43,53670
43,78783
43,81462
44,19052
44,19682
44,19820
44,20794
44,22797
44,25424
44,26565
44,27044
44,27293
44,27941
44,28212
44,28271
44,31049
44,32067
44,33164
44,34251
44,43044
44,43049
44,43186
44,43199
44,43201
44,43825
44,46993
44,214
44,899
44,2024
44,2882
44,3813
44,5486
44,5607
44,5696
44,5859
44,6772
44,61661
44,62207
45,16012
45,17921
45,17985
45,18307
45,19548
45,19627
45,19707
45,20971
45,23827
45,35778
45,36079
45,36425
45,36458
45,36588
45,40506
45,666
45,831
45,2234
45,2504
45,4591
45,6473
45,6779
45,62607
45,66248
45,66965
46,5033
46,5055
46,15742
46,15825
46,15887
46,16177
46,16803
46,16879
46,16891
46,16954
46,17239
46,17412
46,17599
46,17768
46,21398
46,21401
46,22789
46,22808
46,22998
46,23150
46,23164
46,23686
46,23811
46,24145
46,24300
46,25382
46,26420
46,27163
46,28810
46,32883
46,33064
46,34543
46,34923
46,37427
46,39943
46,39969
46,42867
46,45228
46,45289
46,45328
46,45376
46,45383
46,45449
46,45488
46,45492
46,45501
46,45504
46,45513
46,45541
46,45591
46,45592
46,45617
46,45642
46,45746
46,45750
46,58400
46,58676
46,59418
46,60097
46,94
46,292
46,500
46,1275
46,1862
46,1924
46,1957
46,3329
46,3666
46,4862
46,5033
46,5055
46,5470
46,5572
46,5834
46,6089
46,6260
46,6307
46,6576
46,58400
46,58676
46,59418
46,60097
46,61811
46,62331
46,62663
46,63109
46,63456
46,63669
46,64359
46,64762
46,65148
46,66643
46,67364
46,69022
46,71863
46,73181
46,73228
46,78953
46,85539
46,85545
46,85554
46,85875
46,85892
46,86084
46,86113
46,86202
46,86283
46,86322
46,86366
46,86509
46,86535
46,86619
46,86630
46,86671
46,86931
46,86962
46,87068
46,87090
46,87161
46,87240
46,87274
46,87460
47,5110
47,15717
47,15858
47,16889
47,16910
47,16960
47,17023
47,17264
47,17266
47,23005
47,23246
47,23305
47,23320
47,23340
47,23369
47,23371
47,23425
47,23447
47,23452
47,23482
47,23744
47,23954
47,24099
47,24920
47,26557
47,28358
47,29725
47,38238
47,488
47,692
47,838
47,1031
47,1135
47,1437
47,1520
